iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Feb 12, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,563,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"LITE","LUMENTUM HOLDINGS INC","EQUITY","Information Technology","Equity","1,337,573,298.10","1,337,573,298.10","2,292,485.00","583.46","United States","NASDAQ","USD","1.00","USD","-","1.21","1.21"
"COHR","COHERENT CORP","EQUITY","Information Technology","Equity","1,098,115,823.70","1,098,115,823.70","5,081,517.00","216.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.99","0.99"
"CW","CURTISS WRIGHT CORP","EQUITY","Industrials","Equity","800,114,903.90","800,114,903.90","1,192,315.00","671.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.72","0.72"
"FTI","TECHNIPFMC PLC","EQUITY","Energy","Equity","798,418,337.92","798,418,337.92","13,080,248.00","61.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.72","0.72"
"CASY","CASEYS GENERAL STORES INC","EQUITY","Consumer Staples","Equity","798,133,796.88","798,133,796.88","1,202,226.00","663.88","United States","NASDAQ","USD","1.00","USD","-","0.72","0.72"
"FLEX","FLEX LTD","EQUITY","Information Technology","Equity","748,519,405.40","748,519,405.40","11,957,179.00","62.60","United States","NASDAQ","USD","1.00","USD","-","0.68","0.68"
"WWD","WOODWARD INC","EQUITY","Industrials","Equity","737,654,911.29","737,654,911.29","1,939,003.00","380.43","United States","NASDAQ","USD","1.00","USD","-","0.67","0.67"
"USFD","US FOODS HOLDING CORP","EQUITY","Consumer Staples","Equity","735,152,302.22","735,152,302.22","7,208,789.00","101.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.66","0.67"
"XPO","XPO INC","EQUITY","Industrials","Equity","720,445,683.15","720,445,683.15","3,795,615.00","189.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.65","0.65"
"PSTG","PURE STORAGE INC CLASS A","EQUITY","Information Technology","Equity","714,843,094.68","714,843,094.68","10,095,228.00","70.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.65","0.65"
"RGLD","ROYAL GOLD INC","EQUITY","Materials","Equity","714,605,560.56","714,605,560.56","2,619,906.00","272.76","United States","NASDAQ","USD","1.00","USD","-","0.65","0.65"
"UTHR","UNITED THERAPEUTICS CORP","EQUITY","Health Care","Equity","662,848,188.54","662,848,188.54","1,392,158.00","476.13","United States","NASDAQ","USD","1.00","USD","-","0.60","0.60"
"THC","TENET HEALTHCARE CORP","EQUITY","Health Care","Equity","660,045,061.62","660,045,061.62","2,841,837.00","232.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.60","0.60"
"ENTG","ENTEGRIS INC","EQUITY","Information Technology","Equity","641,684,497.30","641,684,497.30","4,902,097.00","130.90","United States","NASDAQ","USD","1.00","USD","-","0.58","0.58"
"SGI","SOMNIGROUP INTERNATIONAL INC","EQUITY","Consumer Discretionary","Equity","627,492,171.60","627,492,171.60","6,787,368.00","92.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.57","0.57"
"ATI","ATI INC","EQUITY","Industrials","Equity","614,197,213.85","614,197,213.85","4,393,085.00","139.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.56","0.56"
"RBA","RB GLOBAL INC","EQUITY","Industrials","Equity","606,385,870.85","606,385,870.85","6,004,415.00","100.99","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-","0.55","0.55"
"RS","RELIANCE STEEL & ALUMINUM","EQUITY","Materials","Equity","602,330,043.75","602,330,043.75","1,690,751.00","356.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.54","0.55"
"CRS","CARPENTER TECHNOLOGY CORP","EQUITY","Industrials","Equity","592,762,054.92","592,762,054.92","1,610,854.00","367.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.54","0.54"
"BURL","BURLINGTON STORES INC","EQUITY","Consumer Discretionary","Equity","591,470,912.50","591,470,912.50","2,013,518.00","293.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.53","0.54"
"NVT","NVENT ELECTRIC PLC","EQUITY","Industrials","Equity","583,855,035.00","583,855,035.00","5,217,650.00","111.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.53","0.53"
"BWXT","BWX TECHNOLOGIES INC","EQUITY","Industrials","Equity","582,075,386.20","582,075,386.20","2,956,198.00","196.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.53","0.53"
"ILMN","ILLUMINA INC","EQUITY","Health Care","Equity","565,424,579.80","565,424,579.80","4,940,795.00","114.44","United States","NASDAQ","USD","1.00","USD","-","0.51","0.51"
"CSL","CARLISLE COMPANIES INC","EQUITY","Industrials","Equity","561,486,489.75","561,486,489.75","1,347,945.00","416.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.51","0.51"
"RBC","RBC BEARINGS INC","EQUITY","Industrials","Equity","560,251,609.60","560,251,609.60","1,017,899.00","550.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.51","0.51"
"NXT","NEXTPOWER INC CLASS A","EQUITY","Industrials","Equity","548,126,490.24","548,126,490.24","4,798,026.00","114.24","United States","NASDAQ","USD","1.00","USD","-","0.50","0.50"
